"TRIP_ID","TRAVEL_TIME"
"1372643825620000569",762
"1372659928620000272",555
"1372681651620000328",798
"1372681466620000038",744
"1372681719620000156",722
"1372680165620000305",3837
"1372681419620000256",762
"1372681622620000129",553
"1372694306620000372",1837
"1372692929620000101",960
"1372693238620000408",900
"1372693830620000192",968
"1372693045620000138",951
"1372693222620000027",723
"1372689662620000120",6913
"1372693219620000345",768
"1372694202620000381",748
"1372693936620000460",714
"1372692504620000131",1108
"1372693847620000331",1561
"1372694100620000632",918
"1372693562620000156",1262
"1372693356620000426",1006
"1372694369620000334",843
"1372694230620000273",1017
"1372693421620000497",1021
"1372730301620000136",733
"1372746577620000331",419
"1372746277620000480",657
"1372746544620000626",696
"1372768170620000595",569
"1372780633620000625",934
"1372767648620000327",694
"1372779751620000036",981
"1372779721620000007",969
"1372780556620000050",1003
"1372779332620000207",1430
"1372779730620000431",1024
"1372779847620000174",909
"1372780798620000077",511
"1372780333620000624",1474
"1372780599620000503",1248
"1372779456620000518",1138
"1372779067620000046",1266
"1372779062620000901",1373
"1372780266620000377",1172
"1372779612620000129",988
"1372780782620000632",929
"1372832659620000515",881
"1372832832620000514",352
"1372854479620000286",769
"1372853967620000085",1360
"1372849393620000687",7192
"1372854325620000027",821
"1372854397620000388",1032
"1372866253620000435",580
"1372867157620000578",898
"1372866971620000604",813
"1372865778620000352",2695
"1372866964620000547",745
"1372867031620000480",1020
"1372866501620000195",1184
"1372866238620000436",991
"1372867162620000460",809
"1372864325620000050",4833
"1372902667620000129",912
"1372867098620000529",2542
"1372940949620000083",596
"1372940882620000021",806
"1372953386620000001",1222
"1372950589620000330",3911
"1372952620620000434",801
"1372953392620000668",1052
"1372952788620000633",1167
"1372952020620000120",1347
"1372953362620000356",1047
"1372952454620000410",1116
"1372953288620000333",894
"1373005290620000486",721
"1373004575620000276",1555
"1372952863620000032",941
"1373026458620000256",1765
"1373026886620000239",1589
"1373026773620000314",1171
"1373027053620000632",1673
"1373027349620000190",557
"1373026889620000562",1992
"1373027063620000328",984
"1373039031620000101",971
"1373039987620000015",1726
"1373038805620000014",963
"1373039209620000267",1485
"1373039191620000600",1484
"1373038674620000039",1530
"1373038907620000053",1090
"1373039813620000518",1096
"1373039658620000535",895
"1373039636620000372",2169
"1373038465620000280",1660
"1373039459620000173",938
"1373039855620000347",973
"1373038533620000353",935
"1373039866620000101",740
"1373039225620000308",1168
"1373038451620000419",1476
"1373075748620000649",586
"1373075784620000173",627
"1373075871620000508",504
"1373075752620000242",606
"1373075075620000108",1523
"1373075674620000314",900
"1373039259620000504",976
"1373091942620000077",1068
"1373091468620000657",1434
"1373113646620000373",572
"1373125096620000011",858
"1373126229620000140",901
"1373125203620000344",861
"1373125314620000160",475
"1373125451620000572",556
"1373125010620000349",836
"1373125916620000222",1221
"1373126381620000066",698
"1373112849620000496",2213
"1373162049620000542",572
"1373162122620000353",564
"1373162351620000569",852
"1373161735620000904",859
"1373162243620000901",626
"1373178444620000271",496
"1373200082620000083",489
"1373161958620000529",735
"1373211311620000157",1323
"1373211448620000671",583
"1373212726620000678",680
"1373212361620000588",601
"1373209307620000267",3644
"1373212768620000684",663
"1373177852620000003",1424
"1373248759620000621",405
"1373211323620000373",1246
"1373264406620000342",741
"1373264525620000239",759
"1373264682620000304",846
"1373248352620000453",748
"1373286289620000297",900
"1373286527620000098",811
"1373285707620000364",1690
"1373297057620000303",1814
"1373298046620000600",1098
"1373298903620000119",907
"1373298292620000294",755
"1373298701620000454",1014
"1373296361620000050",4715
"1373299189620000367",1716
"1373351159620000015",622
"1373298207620000226",1764
"1373293845620000539",6043
"1373298309620000099",1457
"1373371945620000005",1303
"1373372276620000663",1127
"1373372383620000569",1137
"1373372730620000140",673
"1373384153620000042",619
"1373384400620000048",819
"1373384185620000013",831
"1373384268620000615",910
"1373384102620000190",1930
"1373384637620000189",662
"1373385122620000197",754
"1373418930620000256",3193
"1373421369620000492",572
"1373384859620000588",1188
"1373436611620000089",1995
"1373437653620000547",836
"1373459083620000226",536
"1373457791620000500",4678
"1373458506620000166",964
"1373459186620000651",889
"1373459283620000440",804
"1373470023620000156",1552
"1373471638620000327",923
"1373471565620000578",932
"1373471230620000174",1228
"1373471077620000086",804
"1373470544620000319",1632
"1373471817620000038",678
"1373471944620000142",1011
"1373470920620000140",894
"1373471496620000111",937
"1373507737620000263",792
"1373523561620000179",1284
"1373523771620000161",768
"1373523416620000116",983
"1373544713620000171",1302
"1373545610620000513",891
"1373545597620000084",724
"1373543744620000608",4330
"1373556194620000616",2707
"1373558323620000480",926
"1373558086620000409",621
"1373556291620000095",1958
"1373557334620000047",664
"1373557278620000473",646
"1373557099620000586",929
"1373558312620000166",500
"1373558233620000578",1130
"1373610495620000668",922
"1373631893620000391",757
"1373631776620000470",823
"1373631930620000008",616
"1373631764620000156",1077
"1373632060620000250",843
"1373631848620000403",1081
"1373632089620000188",592
"1373631741620000067",961
"1373631262620000675",1338
"1373632132620000625",828
"1373643667620000400",817
"1373643220620000309",1130
"1373644385620000682",1347
"1373643689620000495",1202
"1373644499620000245",1076
"1373643464620000158",855
"1373643098620000222",1324
"1373643864620000341",960
"1373644220620000543",1009
"1373644399620000068",1060
"1373644040620000042",1339
"1373643545620000648",1188
"1373680505620000305",561
"1373680331620000297",746
"1373680616620000477",528
"1373680794620000054",660
"1373718498620000311",754
"1373716888620000273",2566
"1373718373620000197",722
"1373718466620000195",718
"1373730938620000483",816
"1373730970620000426",803
"1373730802620000596",486
"1373729935620000468",856
"1373729075620000058",4243
"1373718173620000255",797
"1373730750620000506",909
"1373767012620000310",702
"1373766790620000280",792
"1373767106620000376",601
"1373762899620000560",6993
"1373782371620000434",1384
"1373783029620000260",578
"1373783187620000201",633
"1373816505620000320",628
"1373817267620000393",954
"1373817411620000334",951
"1373817421620000473",854
"1373817532620000602",652
"1373890979620000495",940
"1373891116620000509",610
"1373891232620000015",446
"1373891236620000343",622
"1373891018620000605",857
"1373891156620000657",764
"1373890930620000586",5448
"1373902868620000640",1065
"1373902273620000255",962
"1373903066620000285",1308
"1373903501620000434",1712
"1373903357620000044",855
"1373903112620000686",1065
"1373903491620000495",1750
"1373903925620000542",852
"1373902855620000902",5032
"1373902219620000611",1318
"1373902533620000672",873
"1373903737620000684",1114
"1373903859620000058",1041
"1373939652620000089",767
"1373900111620000137",5759
"1373956076620000391",755
"1373955978620000157",713
"1373953801620000455",3356
"1373955814620000395",1230
