"TRIP_ID","TRAVEL_TIME"
"1372651034620000403",641
"1372650808620000400",812
"1372667249620000113",1652
"1372666327620000120",2250
"1372667009620000607",946
"1372666913620000408",820
"1372667083620000051",943
"1372666301620000142",1602
"1372666937620000099",714
"1372666911620000092",858
"1372688102620000607",2928
"1372688678620000081",961
"1372687482620000451",1866
"1372688855620000359",1264
"1372701165620000347",1072
"1372700853620000272",1536
"1372699915620000216",1671
"1372701419620000472",912
"1372699976620000665",2106
"1372700085620000093",1377
"1372701407620000520",2918
"1372737234620000601",831
"1372700622620000048",2287
"1372698680620000464",2644
"1372753604620000621",747
"1372753727620000285",608
"1372753729620000346",821
"1372753101620000560",2063
"1372753759620000320",596
"1372774955620000430",832
"1372775023620000119",731
"1372775175620000653",683
"1372775273620000309",663
"1372775162620000180",831
"1372786107620000198",1348
"1372786029620000430",1839
"1372786887620000624",627
"1372787775620000678",516
"1372787775620000649",769
"1372823407620000601",902
"1372823787620000560",903
"1372823187620000488",855
"1372786190620000331",1667
"1372786830620000464",852
"1372837273620000432",4453
"1372839549620000013",1156
"1372840004620000151",595
"1372839978620000080",681
"1372839621620000021",1306
"1372861612620000451",642
"1372861668620000018",576
"1372874228620000571",944
"1372873145620000352",883
"1372872799620000467",1154
"1372873472620000006",720
"1372872673620000521",4905
"1372873161620000686",600
"1372873263620000497",912
"1372873237620000658",1486
"1372873548620000108",1506
"1372874199620000586",1454
"1372873995620000304",897
"1372909611620000171",1068
"1372910063620000112",528
"1372873453620000669",1597
"1372872534620000383",2451
"1372926184620000455",1315
"1372926558620000480",972
"1372926414620000476",584
"1372926391620000325",840
"1372925674620000684",1423
"1372925119620000224",1554
"1372926008620000337",894
"1372947688620000118",840
"1372946221620000235",2809
"1372947728620000454",621
"1372946800620000577",1563
"1372947944620000308",1078
"1372948153620000345",669
"1372948074620000138",895
"1372948145620000606",637
"1372959510620000524",803
"1372960456620000126",907
"1372960468620000138",1239
"1372960410620000372",831
"1372958434620000314",1788
"1372960454620000387",583
"1372959184620000697",1263
"1372960093620000080",903
"1372960270620000653",887
"1372959986620000453",1438
"1372996557620000372",861
"1372996174620000472",1109
"1372996000620000233",1025
