"TRIP_ID","TRAVEL_TIME"
"1372651034620000403",585
"1372650808620000400",733
"1372667249620000113",1130
"1372666327620000120",1643
"1372667009620000607",931
"1372666913620000408",880
"1372667083620000051",765
"1372666301620000142",1646
"1372666937620000099",797
"1372666911620000092",904
"1372688102620000607",2201
"1372688678620000081",898
"1372687482620000451",2225
"1372688855620000359",884
"1372701165620000347",870
"1372700853620000272",1301
"1372699915620000216",1335
"1372701419620000472",954
"1372699976620000665",1865
"1372700085620000093",1208
"1372701407620000520",1039
"1372737234620000601",722
"1372700622620000048",1627
"1372698680620000464",2262
"1372753604620000621",860
"1372753727620000285",696
"1372753729620000346",779
"1372753101620000560",1353
"1372753759620000320",707
"1372774955620000430",798
"1372775023620000119",844
"1372775175620000653",759
"1372775273620000309",847
"1372775162620000180",790
"1372786107620000198",1591
"1372786029620000430",1658
"1372786887620000624",884
"1372787775620000678",829
"1372787775620000649",791
"1372823407620000601",930
"1372823787620000560",713
"1372823187620000488",921
"1372786190620000331",1479
"1372786830620000464",837
"1372837273620000432",5083
"1372839549620000013",968
"1372840004620000151",682
"1372839978620000080",699
"1372839621620000021",1048
"1372861612620000451",736
"1372861668620000018",702
"1372874228620000571",842
"1372873145620000352",921
"1372872799620000467",1107
"1372873472620000006",834
"1372872673620000521",2769
"1372873161620000686",847
"1372873263620000497",845
"1372873237620000658",1434
"1372873548620000108",1510
"1372874199620000586",915
"1372873995620000304",963
"1372909611620000171",1059
"1372910063620000112",724
"1372873453620000669",1433
"1372872534620000383",2389
"1372926184620000455",912
"1372926558620000480",880
"1372926414620000476",742
"1372926391620000325",816
"1372925674620000684",1372
"1372925119620000224",1797
"1372926008620000337",923
"1372947688620000118",775
"1372946221620000235",2829
"1372947728620000454",804
"1372946800620000577",2076
"1372947944620000308",791
"1372948153620000345",752
"1372948074620000138",862
"1372948145620000606",773
"1372959510620000524",818
"1372960456620000126",886
"1372960468620000138",860
"1372960410620000372",821
"1372958434620000314",1591
"1372960454620000387",863
"1372959184620000697",1253
"1372960093620000080",1144
"1372960270620000653",858
"1372959986620000453",1277
"1372996557620000372",759
"1372996174620000472",1064
"1372996000620000233",895
"1372957688620000695",3052
"1372959202620000440",1199
"1372959758620000083",1503
"1372958748620000516",1660
"1373012776620000163",815
"1373012690620000455",817
"1373012797620000172",877
"1373010045620000067",4924
"1373034294620000327",997
"1373034251620000455",834
"1373033898620000334",996
"1373034274620000207",822
"1373046867620000065",997
"1373046010620000113",928
"1373044544620000410",2129
"1373045842620000095",1016
"1373046104620000596",783
"1373045641620000539",1196
