"TRIP_ID","LATITUDE","LONGITUDE"
"1372651034620000403",41.1820798492,-8.62535755157
"1372650808620000400",41.1653882599,-8.60881071091
"1372667051620000152",41.160739206,-8.6107968805
"1372667249620000113",41.1524170685,-8.61081314087
"1372666327620000120",41.1166081746,-8.52933354378
"1372667009620000607",41.156664505,-8.62217996597
"1372666913620000408",41.1592293294,-8.62133559545
"1372667083620000051",41.1702634321,-8.61510317394
"1372666301620000142",41.1627289009,-8.64550758839
"1372666937620000099",41.1439215492,-8.60375257261
"1372666911620000092",41.1538750076,-8.60790344874
"1372688102620000607",40.9833134918,-8.53407773018
"1372688678620000081",41.1311880938,-8.62440991879
"1372687482620000451",41.1914038849,-8.67997995377
"1372688855620000359",41.164017868,-8.62989187241
"1372701165620000347",41.178888855,-8.59550579071
"1372700853620000272",41.1519643402,-8.62246736526
"1372699915620000216",41.1689755758,-8.63845666885
"1372701419620000472",41.1831555939,-8.63113672256
"1372699976620000665",41.1730288696,-8.58638879776
"1372700085620000093",41.216446113,-8.66909264033
"1372701407620000520",41.1774674988,-8.65816987991
"1372737234620000601",41.1389084135,-8.63647141774
"1372700622620000048",41.1445989227,-8.60725805283
"1372698680620000464",41.1646695709,-8.60522159576
"1372753604620000621",41.1675736364,-8.63583382289
"1372753727620000285",41.1578612518,-8.63009584427
"1372753729620000346",41.1515309715,-8.62032818317
"1372753101620000560",41.1557189433,-8.60026040395
"1372753759620000320",41.1593209076,-8.62183732605
"1372774955620000430",41.1696923828,-8.5581906414
"1372775023620000119",41.1508444532,-8.59081420104
"1372775175620000653",41.1525343323,-8.59747150421
"1372775273620000309",41.1514071655,-8.62345687866
"1372775162620000180",41.1469509888,-8.62029309591
"1372775055620000904",41.1639593597,-8.640757766
"1372786107620000198",41.1730397797,-8.58657711411
"1372786595620000184",41.1489174652,-8.6179987208
"1372786029620000430",41.1985063934,-8.56320469379
"1372786887620000624",41.1479247284,-8.61497117996
"1372787775620000678",41.1452672882,-8.60668296623
"1372787775620000649",41.161940155,-8.60786148071
"1372823407620000601",41.2019175466,-8.69117763329
"1372823787620000560",41.2190466321,-8.65247047742
"1372823187620000488",41.2369232645,-8.67001176525
"1372786190620000331",41.2022135925,-8.63947095871
"1372786830620000464",41.1559470367,-8.61297521591
"1372837273620000432",41.1597104645,-8.62891565323
"1372839665620000549",41.1579206848,-8.60417960485
"1372839549620000013",41.1984898567,-8.67213044167
"1372840004620000151",41.1533356222,-8.60816021601
"1372839978620000080",41.1663623047,-8.60410692215
"1372839621620000021",41.1667241669,-8.62586828232
"1372861612620000451",41.1530405426,-8.61323385239
"1372861668620000018",41.1471266174,-8.63232252121
"1372874228620000571",41.1621679687,-8.60581220627
